TSV Subject,TSV Predicate,TSV Value,Predicate FuzzyWuzzy Ratio,Predicate FuzzyWuzzy Token Set Ratio,Predicate Jaro-Winkler Similarity,Predicate Cosine Similarity,Value FuzzyWuzzy Ratio,Value FuzzyWuzzy Token Set Ratio,Value Jaro-Winkler Similarity,Value Cosine Similarity
Mary Hemings,hasAge,Age 24,75,80,0.8666666666666667,0.0,16,19,0.58656330749354,0.0
Mary Hemings,hasFirstName,Mary,83,86,0.9019607843137256,0.0,20,100,0.6193693693693694,0.6348087971775132
Mary Hemings,hasName,Mary Hemings,78,82,0.8787878787878788,0.0,49,100,0.6330409356725147,0.7090528735856639
Mary Hemings,hasParticipantRole,Registered Person,47,48,0.6597643097643098,0.0,31,52,0.5800802139037433,0.2912194185636897
Mary Hemings,hasPersonStatus,Free Person,86,88,0.9166666666666666,0.0,28,100,0.5544397463002114,0.5499883949217763
Mary Hemings,hasSex,Female,75,80,0.8666666666666667,0.0,28,100,0.5841269841269842,0.335175743327926
Mary Hemings,hasSurname,Hemings,83,87,0.9047619047619048,0.0,32,100,0.5868725868725869,0.4285693450091423
Mary Hemings,instance of,Person,36,37,0.5774410774410774,0.0,20,100,0.5849673202614379,0.5023287782256718
