David George	instance of	Person
David George	hasSex	Male
David George	hasParticipantRole	Child
David George	hasParticipantRole	Deceased Person
David George	hasDescriptiveOccupation	Slave
David George	hasDescriptiveOccupation	Colonist
David George	hasDescriptiveOccupation	Baptist Lay Leader
David George	hasFirstName	David
David George	hasSurname	George
David George	hasName	David George
David George	hasDescription	Born Enslaved. Free before 13th Amendment. Minister at one of the first black Baptist churches in the U.S., George continued his preaching in Nova Scotia after the Revolutionary War but encountered racism there as well and in 1792 led almost 1,200 black Baptists to Sierra Leone .
