Venture Smith	instance of	Person
Venture Smith	hasSex	Male
Venture Smith	hasParticipantRole	Child
Venture Smith	hasParticipantRole	Deceased Person
Venture Smith	hasDescriptiveOccupation	Entrepreneur
Venture Smith	hasDescriptiveOccupation	Slave
Venture Smith	hasDescriptiveOccupation	Slave Narrative Author
Venture Smith	hasFirstName	Venture
Venture Smith	hasSurname	Smith
Venture Smith	hasName	Venture Smith
Venture Smith	hasDescription	Enslaved. Free before 13th Amendment. Captured in Guinea and forced to be a servant in raids on other African nations, and at age eight was transported to Rhode Island and enslaved there. After gaining his freedom he wrote an important autobiography and acquired land.
