Preston Taylor	instance of	Person
Preston Taylor	hasSex	Male
Preston Taylor	hasParticipantRole	Child
Preston Taylor	hasParticipantRole	Deceased Person
Preston Taylor	hasDescriptiveOccupation	Slave
Preston Taylor	hasDescriptiveOccupation	Soldier
Preston Taylor	hasDescriptiveOccupation	Mortician / Funeral Home Director
Preston Taylor	hasDescriptiveOccupation	Christian Clergy / Lay Leader
Preston Taylor	hasFirstName	Preston
Preston Taylor	hasSurname	Taylor
Preston Taylor	hasName	Preston Taylor
Preston Taylor	hasDescription	Born Enslaved. A Union Army drummer, Taylor was later a stonecutter, railroad porter, and funeral director who amassed almost $500,000 by the time of his death in 1931.
