Amanda America Dickson	instance of	Person
Amanda America Dickson	hasAlternateName	Toomer Eubanks
Amanda America Dickson	hasSex	Female
Amanda America Dickson	hasParticipantRole	Child
Amanda America Dickson	hasParticipantRole	Deceased Person
Amanda America Dickson	hasDescriptiveOccupation	Slave
Amanda America Dickson	hasFirstName	Amanda America
Amanda America Dickson	hasSurname	Dickson
Amanda America Dickson	hasName	Amanda America Dickson
Amanda America Dickson	hasDescription	Enslaved. Inherited a large fortune from her father, and the Georgia Supreme Court upheld the will provision making Amanda Dickson sole administrator of the estate.
