Peter Bruner	instance of	Person
Peter Bruner	hasSex	Male
Peter Bruner	hasParticipantRole	Child
Peter Bruner	hasParticipantRole	Deceased Person
Peter Bruner	hasDescriptiveOccupation	Slave
Peter Bruner	hasDescriptiveOccupation	Soldier
Peter Bruner	hasDescriptiveOccupation	Slave Narrative Author
Peter Bruner	hasFirstName	Peter
Peter Bruner	hasSurname	Bruner
Peter Bruner	hasName	Peter Bruner
Peter Bruner	hasDescription	Enslaved. A former slave who served in the Union military and experienced many financial hardships after the war. His daughter recorded his memoir, A Slave's Adventures toward Freedom, Not a Fiction, but the True Story of a Struggle.
