James Albert Ukawsaw Gronniosaw	instance of	Person
James Albert Ukawsaw Gronniosaw	hasSex	Male
James Albert Ukawsaw Gronniosaw	hasParticipantRole	Child
James Albert Ukawsaw Gronniosaw	hasParticipantRole	Deceased Person
James Albert Ukawsaw Gronniosaw	hasDescriptiveOccupation	Slave
James Albert Ukawsaw Gronniosaw	hasDescriptiveOccupation	Prince
James Albert Ukawsaw Gronniosaw	hasDescriptiveOccupation	Slave Narrative Author
James Albert Ukawsaw Gronniosaw	hasFirstName	James Albert Ukawsaw
James Albert Ukawsaw Gronniosaw	hasSurname	Gronniosaw
James Albert Ukawsaw Gronniosaw	hasName	James Albert Ukawsaw Gronniosaw
James Albert Ukawsaw Gronniosaw	hasDescription	Enslaved. Free before 13th Amendment. Dictated one of the earliest slave narratives, which discusses his African origins, enslavement, emancipation and conversion.
