Charles Caldwell	instance of	Person
Charles Caldwell	hasSex	Male
Charles Caldwell	hasParticipantRole	Child
Charles Caldwell	hasParticipantRole	Deceased Person
Charles Caldwell	hasDescriptiveOccupation	Blacksmith
Charles Caldwell	hasDescriptiveOccupation	Slave
Charles Caldwell	hasDescriptiveOccupation	State Legislator
Charles Caldwell	hasFirstName	Charles
Charles Caldwell	hasSurname	Caldwell
Charles Caldwell	hasName	Charles Caldwell
Charles Caldwell	hasDescription	Enslaved. A Republican who served in the Mississippi constitutional convention and Senate and advocated for women's rights. He faced intimidation, particularly after an event known as the Clinton Riot, and in 1875 was assassinated .
