Isaac Jefferson	instance of	Person
Isaac Jefferson	hasSex	Male
Isaac Jefferson	hasParticipantRole	Child
Isaac Jefferson	hasParticipantRole	Deceased Person
Isaac Jefferson	hasDescriptiveOccupation	Blacksmith
Isaac Jefferson	hasDescriptiveOccupation	Slave
Isaac Jefferson	hasFirstName	Isaac
Isaac Jefferson	hasSurname	Jefferson
Isaac Jefferson	hasName	Isaac Jefferson
Isaac Jefferson	hasDescription	Enslaved. Possibly Free before 13th Amendment. A blacksmith whose Memoirs of a Monticello Slave were recorded by Charles Campbell but published only in 1951.
