Harriet Ross Tubman	instance of	Person
Harriet Ross Tubman	hasSex	Female
Harriet Ross Tubman	hasParticipantRole	Child
Harriet Ross Tubman	hasParticipantRole	Deceased Person
Harriet Ross Tubman	hasDescriptiveOccupation	Slave
Harriet Ross Tubman	hasDescriptiveOccupation	Abolitionist
Harriet Ross Tubman	hasFirstName	Harriet Ross
Harriet Ross Tubman	hasSurname	Tubman
Harriet Ross Tubman	hasName	Harriet Ross Tubman
Harriet Ross Tubman	hasDescription	Born Enslaved. Free before 13th Amendment. After escaping from slavery, Tubman became a leader on the Underground Railroad, a Civil War scout and spy, and a social reformer. Her biography was written by Sara Bradford (https://www.docsouth.unc.edu/neh/harriet/harriet.html).
