Kate Drumgoold	instance of	Person
Kate Drumgoold	hasSex	Female
Kate Drumgoold	hasParticipantRole	Child
Kate Drumgoold	hasParticipantRole	Deceased Person
Kate Drumgoold	hasDescriptiveOccupation	Slave
Kate Drumgoold	hasDescriptiveOccupation	Educator
Kate Drumgoold	hasDescriptiveOccupation	Autobiographer / Memoirist
Kate Drumgoold	hasFirstName	Kate
Kate Drumgoold	hasSurname	Drumgoold
Kate Drumgoold	hasName	Kate Drumgoold
Kate Drumgoold	hasDescription	Enslaved. Autobiography is notable for flattering description of white employers, and for its description of her life moving between the South and North.
