Paul Jennings	instance of	Person
Paul Jennings	hasSex	Male
Paul Jennings	hasParticipantRole	Child
Paul Jennings	hasParticipantRole	Deceased Person
Paul Jennings	hasDescriptiveOccupation	Domestic Servant
Paul Jennings	hasDescriptiveOccupation	Slave
Paul Jennings	hasDescriptiveOccupation	Autobiographer / Memoirist
Paul Jennings	hasFirstName	Paul
Paul Jennings	hasSurname	Jennings
Paul Jennings	hasName	Paul Jennings
Paul Jennings	hasDescription	Enslaved. Free before 13th Amendment. Formerly enslaved as a personal assistant to President James Madison, Jennings had a memoir about his time in the Oval Office published in book form in 1865.
