Jack Sisson	instance of	Person
Jack Sisson	hasAlternateName	Tack
Jack Sisson	hasSex	Male
Jack Sisson	hasParticipantRole	Child
Jack Sisson	hasParticipantRole	Deceased Person
Jack Sisson	hasDescriptiveOccupation	Patriot (American Revolution)
Jack Sisson	hasDescriptiveOccupation	Guerrilla
Jack Sisson	hasDescriptiveOccupation	War Hero
Jack Sisson	hasFirstName	Jack
Jack Sisson	hasSurname	Sisson
Jack Sisson	hasName	Jack Sisson
Jack Sisson	hasDescription	Unknown  Status at Birth, free Before 13th Amendment.
