Sojourner Truth	instance of	Person
Sojourner Truth	hasSex	Female
Sojourner Truth	hasParticipantRole	Child
Sojourner Truth	hasParticipantRole	Deceased Person
Sojourner Truth	hasDescriptiveOccupation	Slave
Sojourner Truth	hasDescriptiveOccupation	Abolitionist
Sojourner Truth	hasDescriptiveOccupation	Litigant
Sojourner Truth	hasDescriptiveOccupation	Women's Rights Advocate
Sojourner Truth	hasFirstName	Sojourner
Sojourner Truth	hasSurname	Truth
Sojourner Truth	hasName	Sojourner Truth
Sojourner Truth	hasDescription	Enslaved. A traveling evangelical preacher, she took the name Sojourner Truth and became a leading feminist and abolitionist who also helped African Americans find employment outside of the south. She also initiated multiple lawsuits.
