Richard Preston	instance of	Person
Richard Preston	hasSex	Male
Richard Preston	hasParticipantRole	Child
Richard Preston	hasParticipantRole	Deceased Person
Richard Preston	hasDescriptiveOccupation	Slave
Richard Preston	hasDescriptiveOccupation	Abolitionist
Richard Preston	hasDescriptiveOccupation	Community Activist
Richard Preston	hasDescriptiveOccupation	Baptist Clergy
Richard Preston	hasFirstName	Richard
Richard Preston	hasSurname	Preston
Richard Preston	hasName	Richard Preston
Richard Preston	hasDescription	Enslaved. Free before 13th Amendment. A Baptist preacher and abolitionist in Nova Scotia who established a separate congregation for black Baptists, established the African Baptist Association, and started a mutual aid society.
