Isaiah Mays	instance of	Person
Isaiah Mays	hasSex	Male
Isaiah Mays	hasParticipantRole	Child
Isaiah Mays	hasParticipantRole	Deceased Person
Isaiah Mays	hasDescriptiveOccupation	Slave
Isaiah Mays	hasDescriptiveOccupation	Soldier
Isaiah Mays	hasDescriptiveOccupation	War Hero
Isaiah Mays	hasFirstName	Isaiah
Isaiah Mays	hasSurname	Mays
Isaiah Mays	hasName	Isaiah Mays
Isaiah Mays	hasDescription	Born Enslaved. Free before 13th Amendment. He enlisted in the U.S. Army at Columbus in 1881, joining one of the four all-black units and earning the Medal of Honor for his service. He was subsequently denied the invalid pension that he requested.
