Isaiah Dorman	instance of	Person
Isaiah Dorman	hasSex	Male
Isaiah Dorman	hasParticipantRole	Child
Isaiah Dorman	hasParticipantRole	Deceased Person
Isaiah Dorman	hasDescriptiveOccupation	Slave
Isaiah Dorman	hasDescriptiveOccupation	American Indian Cultural Intermediary
Isaiah Dorman	hasDescriptiveOccupation	Frontiersman / Pioneer
Isaiah Dorman	hasFirstName	Isaiah
Isaiah Dorman	hasSurname	Dorman
Isaiah Dorman	hasName	Isaiah Dorman
Isaiah Dorman	hasDescription	Enslaved. Free before 13th Amendment. An interpreter for the Sioux who died when accompanying Custer at Little Bighorn.
