James Collins Johnson	instance of	Person
James Collins Johnson	hasSex	Male
James Collins Johnson	hasParticipantRole	Child
James Collins Johnson	hasParticipantRole	Deceased Person
James Collins Johnson	hasDescriptiveOccupation	Entrepreneur
James Collins Johnson	hasDescriptiveOccupation	Slave
James Collins Johnson	hasDescriptiveOccupation	Merchant
James Collins Johnson	hasFirstName	James Collins
James Collins Johnson	hasSurname	Johnson
James Collins Johnson	hasName	James Collins Johnson
James Collins Johnson	hasDescription	Born Enslaved. Free before 13th Amendment. Tried in 1843 in what became known as the Princeton Fugitive Slave case, Johnson was nearly re-enslaved until a local woman intervened and bought his freedom.
