Solomon Bayley	instance of	Person
Solomon Bayley	hasSex	Male
Solomon Bayley	hasParticipantRole	Child
Solomon Bayley	hasParticipantRole	Deceased Person
Solomon Bayley	hasDescriptiveOccupation	Slave
Solomon Bayley	hasDescriptiveOccupation	Slave Narrative Author
Solomon Bayley	hasFirstName	Solomon
Solomon Bayley	hasSurname	Bayley
Solomon Bayley	hasName	Solomon Bayley
Solomon Bayley	hasDescription	Born Enslaved. Free before 13th Amendment. A former slave and abolitionist speaker whose experiences were recorded in Narrative of Some Remarkable Incidents in the Life of Solomon Bayley, Formerly a Slave, in the State of Delaware, North America, Bayley later immigrated to Liberia with his wife.
