Moses Williams	instance of	Person
Moses Williams	hasSex	Male
Moses Williams	hasParticipantRole	Child
Moses Williams	hasParticipantRole	Deceased Person
Moses Williams	hasDescriptiveOccupation	Slave
Moses Williams	hasDescriptiveOccupation	Medal of Honor Recipient
Moses Williams	hasDescriptiveOccupation	Soldier
Moses Williams	hasFirstName	Moses
Moses Williams	hasSurname	Williams
Moses Williams	hasName	Moses Williams
Moses Williams	hasDescription	Enslaved. A corporal, cavalryman and scout for the Union Army during the Civil War, Williams later became a sergeant and Medal of Honor awardee in the 9th Cavalry, or "Buffalo Soldiers" .
